1. component   nbEL= 168  nbTR= 194
2. component   nbEL= 36  nbTR= 37
3. component   nbEL= 6  nbTR= 5
6. component   nbEL= 6  nbTR= 5
11. component   nbEL= 6  nbTR= 5
4. component   nbEL= 5  nbTR= 4
12. component   nbEL= 5  nbTR= 4
5. component   nbEL= 4  nbTR= 3
7. component   nbEL= 4  nbTR= 3
43. component   nbEL= 4  nbTR= 3
10. component   nbEL= 4  nbTR= 3
13. component   nbEL= 4  nbTR= 3
14. component   nbEL= 4  nbTR= 3
15. component   nbEL= 4  nbTR= 3
16. component   nbEL= 4  nbTR= 3
17. component   nbEL= 4  nbTR= 3
18. component   nbEL= 4  nbTR= 3
8. component   nbEL= 3  nbTR= 2
42. component   nbEL= 3  nbTR= 2
21. component   nbEL= 3  nbTR= 2
20. component   nbEL= 2  nbTR= 1
22. component   nbEL= 2  nbTR= 1
23. component   nbEL= 2  nbTR= 1
24. component   nbEL= 2  nbTR= 1
25. component   nbEL= 2  nbTR= 1
26. component   nbEL= 2  nbTR= 1
27. component   nbEL= 2  nbTR= 1
28. component   nbEL= 2  nbTR= 1
29. component   nbEL= 2  nbTR= 1
30. component   nbEL= 2  nbTR= 1
31. component   nbEL= 2  nbTR= 1
32. component   nbEL= 2  nbTR= 1
33. component   nbEL= 2  nbTR= 1
34. component   nbEL= 2  nbTR= 1
35. component   nbEL= 2  nbTR= 1
36. component   nbEL= 2  nbTR= 1
37. component   nbEL= 2  nbTR= 1
38. component   nbEL= 2  nbTR= 1
39. component   nbEL= 2  nbTR= 1
40. component   nbEL= 2  nbTR= 1
41. component   nbEL= 2  nbTR= 1
19. component   nbEL= 2  nbTR= 1
9. component   nbEL= 2  nbTR= 1
44. component   nbEL= 2  nbTR= 1
45. component   nbEL= 2  nbTR= 1
46. component   nbEL= 2  nbTR= 1
47. component   nbEL= 2  nbTR= 1

Transitions of components:
2. component
1032.74377 0.00008 0 2 0 0 32 e  0 0 0 0 33 e  90ToHoAl.27
1031.33695 0.00008 0 2 0 0 36 e  0 0 0 0 37 e  90ToHoAl.30
1030.64229 0.00008 0 2 0 0 38 e  0 0 0 0 39 e  90ToHoAl.32
1029.95253 0.00008 0 2 0 0 40 e  0 0 0 0 41 e  90ToHoAl.34
1029.26845 0.00008 0 2 0 0 42 e  0 0 0 0 43 e  90ToHoAl.36
1028.59014 0.00008 0 2 0 0 44 e  0 0 0 0 45 e  90ToHoAl.37
1027.91758 0.00008 0 2 0 0 46 e  0 0 0 0 47 e  90ToHoAl.39
1059.33395 0.00008 0 2 0 0 34 e  0 0 0 0 33 e  90ToHoAl.64
1060.21426 0.00008 0 2 0 0 36 e  0 0 0 0 35 e  90ToHoAl.66
1061.09943 0.00008 0 2 0 0 38 e  0 0 0 0 37 e  90ToHoAl.68
1061.98993 0.00008 0 2 0 0 40 e  0 0 0 0 39 e  90ToHoAl.70
1062.88568 0.00008 0 2 0 0 42 e  0 0 0 0 41 e  90ToHoAl.72
1063.78698 0.00008 0 2 0 0 44 e  0 0 0 0 43 e  90ToHoAl.74
1064.69350 0.00008 0 2 0 0 46 e  0 0 0 0 45 e  90ToHoAl.76
