1. component   nbEL= 201  nbTR= 280
10. component   nbEL= 30  nbTR= 32
11. component   nbEL= 16  nbTR= 15
5. component   nbEL= 7  nbTR= 6
12. component   nbEL= 6  nbTR= 5
22. component   nbEL= 5  nbTR= 4
3. component   nbEL= 4  nbTR= 7
4. component   nbEL= 4  nbTR= 7
25. component   nbEL= 4  nbTR= 3
24. component   nbEL= 4  nbTR= 3
18. component   nbEL= 4  nbTR= 3
40. component   nbEL= 3  nbTR= 4
6. component   nbEL= 3  nbTR= 2
39. component   nbEL= 3  nbTR= 4
15. component   nbEL= 2  nbTR= 1
16. component   nbEL= 2  nbTR= 1
17. component   nbEL= 2  nbTR= 1
14. component   nbEL= 2  nbTR= 2
19. component   nbEL= 2  nbTR= 1
20. component   nbEL= 2  nbTR= 1
21. component   nbEL= 2  nbTR= 1
13. component   nbEL= 2  nbTR= 1
23. component   nbEL= 2  nbTR= 1
9. component   nbEL= 2  nbTR= 1
8. component   nbEL= 2  nbTR= 1
26. component   nbEL= 2  nbTR= 1
27. component   nbEL= 2  nbTR= 2
28. component   nbEL= 2  nbTR= 1
29. component   nbEL= 2  nbTR= 2
30. component   nbEL= 2  nbTR= 1
31. component   nbEL= 2  nbTR= 3
32. component   nbEL= 2  nbTR= 2
33. component   nbEL= 2  nbTR= 1
34. component   nbEL= 2  nbTR= 2
35. component   nbEL= 2  nbTR= 2
36. component   nbEL= 2  nbTR= 1
37. component   nbEL= 2  nbTR= 1
38. component   nbEL= 2  nbTR= 1
7. component   nbEL= 2  nbTR= 1
2. component   nbEL= 2  nbTR= 1
41. component   nbEL= 2  nbTR= 1
42. component   nbEL= 2  nbTR= 1
43. component   nbEL= 2  nbTR= 1
44. component   nbEL= 2  nbTR= 1
45. component   nbEL= 2  nbTR= 1
46. component   nbEL= 2  nbTR= 2
47. component   nbEL= 2  nbTR= 1
48. component   nbEL= 2  nbTR= 1
49. component   nbEL= 2  nbTR= 1
50. component   nbEL= 2  nbTR= 1
51. component   nbEL= 2  nbTR= 1
52. component   nbEL= 2  nbTR= 1
53. component   nbEL= 2  nbTR= 1
54. component   nbEL= 2  nbTR= 1
55. component   nbEL= 2  nbTR= 1

Transitions of components:
10. component
2086.198279 0.008 0 4 0 0 50 e  0 0 0 0 50 e  76FaVa.4
2023.169149 0.0003 0 0 1 0 50 e  0 0 0 0 50 e  85HuFoJo.3
3047.431573 0.013 0 2 1 0 50 e  0 0 0 0 50 e  76FaVa.15
2856.396591 0.008 1 0 1 0 50 e  0 0 0 0 50 e  76FaVa.16
2678.834387 0.01 2 2 0 0 50 e  0 0 0 0 50 e  76FaVa.17
2490.564381 0.007 3 0 0 0 50 e  0 0 0 0 50 e  76FaVa.18
4024.416801 0.007 0 0 2 0 50 e  0 0 0 0 50 e  76FaVa.34
3867.186166 0.007 1 2 1 0 50 e  0 0 0 0 50 e  76FaVa.35
3683.272661 0.007 2 0 1 0 50 e  0 0 0 0 50 e  76FaVa.36
3307.773806 0.007 4 0 0 0 50 e  0 0 0 0 50 e  76FaVa.37
5035.064876 0.007 0 2 2 0 50 e  0 0 0 0 50 e  76FaVa.54
4854.062253 0.01 1 0 2 0 50 e  0 0 0 0 50 e  76FaVa.55
4681.44351 0.007 2 2 1 0 50 e  0 0 0 0 50 e  76FaVa.56
4505.253281 0.007 3 0 1 0 50 e  0 0 0 0 50 e  76FaVa.57
4502.14999 0.008 3 0 1 0 50 e  0 0 0 0 50 e  76FaVa.58
4017.438108 0.008 1 0 2 0 50 e  1 0 0 0 50 e  76FaVa.71
2846.636031 0.012 2 0 1 0 50 e  1 0 0 0 50 e  76FaVa.79
2471.165396 0.011 4 0 0 0 50 e  1 0 0 0 50 e  76FaVa.80
6003.769096 0.007 0 0 3 0 50 e  0 0 0 0 50 e  76FaVa.87
6829.525496 0.015 1 0 3 0 50 e  0 0 0 0 50 e  76FaVa.91
829.96493 0.004 1 1 0 1 50 f  0 1 0 1 50 f  80BlDeWa.4
2015.94704 0.008 0 1 1 1 50 f  0 1 0 1 50 f  76FaVa.96
2532.037188 0.008 0 1 1 1 50 f  0 0 0 0 50 e  76FaVa.102
2842.425819 0.01 1 1 1 1 50 f  0 1 0 1 50 f  76FaVa.112
5981.891971 0.008 0 1 3 1 50 f  0 1 0 1 50 f  76FaVa.125
